complete,tag,tag patern,paterns
1,paterns,patterned,*patterned*
-1,paterns\arc,arc,
1,paterns\hexagonal,hexagonal,
1,paters\ledges,ledges,
1,paterns\grid,grid,
1,paterns\tiles,tiles,
1,paterns\panels,panels,
1,paterns\striped,striped,
1,paterns\quilted,quilted,
1,paterns\stitched,stitched,
1,paterns\checkered,checkered,
1,paterns\braided,braided,
0,materials,materials,
1,materials\concrete,concrete,
1,materials\stone,stone,
1,materials\pavement,pavement,
1,materials\marble,marble,
1,materials\metal,metal,
0,materials\metal\gold,gold,*gold*
0,materials\metal\brass,brass,
0,materials\metal\copper,copper,
0,materials\metal\foil,foil,
0,materials\metal\aluminum,aluminum,
1,materials\fabric,fabric,
1,materials\fabric\wool,wool,
1,materials\fabric\leather,leather,
1,materials\fabric\jeans,jeans,
0,autors,autors,
1,autors\cgaxis,cgaxis,
0,colors,colors,
1,colors\beige,beige,
1,colors\black,black,
1,colors\white,white,
1,colors\green,green,
1,colors\brown,brown,
1,colors\purple,purple,
1,colors\cyan,cyan,
1,colors\blue,blue,
1,colors\red,red,
1,colors\grey,grey,
1,colors\orange,orange,
0,colors\yellow,yellow,
0,colors\golden,golden,
1,colors\pink,pink,
0,mathstate,mathstate,
0,mathstate\welded,welded,
0,mathstate\rusted,rusted,
0,mathstate\painted,painted,
0,mathstate\demaged,demaged,
0,mathstate\brushed,brushed,
0,mathstate\dirty,dirty,
0,mathstate\scratched,scratched,
1,mathstate\old,old,
0,mediastate,mediastate,
0,mediastate/4k,4k,